aaoarx1	Aaosphaeria arxii
abobie2	Abortiporus biennis
absgla1	Absidia glauca
absrep1	Absidia repens
acaing1	Acaromyces ingoldii
acastr1	Acarospora strigata
acemac1	Acephala macrosclerotiorum
aciric2	Acidomyces richmondensis
acisp.1	Acidomyces sp.
acrchr1	Acremonium chrysogenum
actamb1	Actinomortierella ambigua
actamb2	Actinomortierella ambigua
actamb3	Actinomortierella ambigua
actwol1	Actinomortierella wolfii
actwol2	Actinomortierella wolfii
agabis1	Agaricus bisporus
agabis2	Agaricus bisporus
agabis3	Agaricus bisporus
agraeg1	Agrocybe aegerita
agrped1	Agrocybe pediades
akalec1	Akanthomyces lecanii
akalec2	Akanthomyces lecanii
alefal1	Alectoria fallacina
altals1	Alternaria alstroemeriae
altalt10	Alternaria alternata
altalt11	Alternaria alternata
altalt12	Alternaria alternata
altalt13	Alternaria alternata
altalt14	Alternaria alternata
altalt4	Alternaria alternata
altalt5	Alternaria alternata
altalt6	Alternaria alternata
altalt7	Alternaria alternata
altalt8	Alternaria alternata
altalt9	Alternaria alternata
altarb1	Alternaria arborescens
altarb2	Alternaria arborescens
altarb3	Alternaria arborescens
altarb4	Alternaria arborescens
altarb5	Alternaria arborescens
altarb6	Alternaria arborescens
altarb7	Alternaria arborescens
altatr1	Alternaria atra
altatr2	Alternaria atra
altbra1	Alternaria brassicicola
altbra2	Alternaria brassicicola
altbra3	Alternaria brassicae
altbur1	Alternaria burnsii
altcon1	Alternaria consortialis
altgai1	Alternaria gaisen
altgan1	Alternaria gansuensis
altgan2	Alternaria gansuensis
altlon1	Alternaria longipes
altpan1	Alternaria panax
altros1	Alternaria rosae
altros2	Alternaria rosae
altsol1	Alternaria solani
altsol2	Alternaria solani
altsp.4	Alternaria sp.
altten1	Alternaria tenuissima
altten2	Alternaria tenuissima
altten3	Alternaria tenuissima
altten4	Alternaria tenuissima
altten5	Alternaria tenuissima
altten6	Alternaria tenuissima
altten7	Alternaria tenuissima
altten8	Alternaria tenuissima
amabis1	Amanita bisporigera
amabru1	Amanita brunnescens
amacit2	Amanita citrina
amaino1	Amanita inopinata
amajac1	Amanita jacksonii
amamus4	Amanita muscaria
amamus5	Amanita muscaria
amamus6	Amanita muscaria
amapha1	Amanita phalloides
amapol1	Amanita polypyramis
amapse1	Amanita pseudoporphyria
amareg1	Amanita regalis
amarub1	Amanita rubescens
amathi1	Amanita thiersii
ambphi1	Ambrosiozyma philentoma
amnlig1	Amniculicola lignicola
amores1	Amorphotheca resinae
ampqui1	Ampelomyces quisqualis
ampsp.1	Amphiamblys sp.
ampsp.2	Amphinema sp.
ampsp.3	Amphinema sp.
amycha1	Amylostereum chailletii
amyenc1	Amylocarpus encephaloides
amylap1	Amylocystis lapponica
anarob1	Anaeromyces robustus
annalg1	Anncaliia algerae
annalg2	Anncaliia algerae
annbov1	Annulohypoxylon bovei
annmae1	Annulohypoxylon maeteangense
annmin1	Annulohypoxylon minutellum
annmor1	Annulohypoxylon moriforme
annnit1	Annulohypoxylon nitens
annsty1	Annulohypoxylon stygium
anntru1	Annulohypoxylon truncatum
antflo1	Anthracocystis flocculosa
antflo2	Anthracocystis flocculosa
antloc1	Antonospora locustae
antser1	Antrodia serialis
apipor1	Apiotrichum porosum
aplpru1	Aplosporella prunicola
apooss1	Apophysomyces ossiformis
aposp.1	Apophysomyces sp.
aposp.2	Apophysomyces sp.
aposp.3	Apophysomyces sp.
armcep1	Armillaria cepistipes
armgal1	Armillaria gallica
armmel2	Armillaria mellea
armost1	Armillaria ostoyae
armsol1	Armillaria solidipes
artben1	Arthroderma benhamiae
artele1	Artolenzites elegans
artent1	Arthrobotrys entomopaga
artfla1	Arthrobotrys flagrans
artmat1	Arthromyces matolae
artoli1	Arthrobotrys oligospora
artunc1	Arthroderma uncinatum
ascapi1	Ascosphaera apis
ascimm1	Ascobolus immersus
