Executing command: /home/emile/scripts/glofish//bin/format-ncbi -r aspergillus_ncbi_notMycodb.txt -a aspergillus_assembly_paths.txt -c ../20211215.pub.genome_codes.txt
aspter2	GCA_000149615.1	Aspergillus terreus NIH2624
aspory4	GCA_000184455.3	Aspergillus oryzae RIB40
aspsoj1	GCA_000226655.2	Aspergillus sojae NBRC 4239
aspscl5	GCA_000530345.1	Aspergillus sclerotiorum
aspnom4	GCA_000531055.1	Aspergillus nomiae
aspram3	GCA_000986645.1	Aspergillus rambellii
aspoch3	GCA_000986665.1	Aspergillus ochraceoroseus
aspasp1	GCA_001044295.1	Aspergillus sp. Z5
aspuda2	GCA_001078395.2	Aspergillus udagawae
aspwes1	GCA_001307345.1	Aspergillus westerdijkiae
asplen1	GCA_001445615.2	Aspergillus lentulus
aspcal3	GCA_001511075.1	Aspergillus calidoustus
asppar6	GCA_001576805.1	Aspergillus parasiticus
aspawa2	GCA_001599415.1	Aspergillus awamori var. piceus
aspche1	GCA_001599875.1	Aspergillus chevalieri
aspluc4	GCA_001602395.1	Aspergillus luchuensis
aspter3	GCA_001630395.1	Aspergillus terreus
aspcri2	GCA_001693355.1	Aspergillus cristatus
aspfum8	GCA_001715275.2	Aspergillus fumigatus
aspcri3	GCA_001717485.1	Aspergillus cristatus
aspnig10	GCA_001741905.1	Aspergillus niger
aspnig11	GCA_001741915.1	Aspergillus niger
aspbom2	GCA_001792695.1	Aspergillus bombycis
aspsyd2	GCA_001890705.1	Aspergillus sydowii CBS 593.65
aspaff1	GCA_001931935.1	Aspergillus aff. floccosus IMV 01167
aspcar1	GCA_001990825.1	Aspergillus carbonarius ITEM 5010
aspory5	GCA_002007945.1	Aspergillus oryzae
aspory6	GCA_002214955.1	Aspergillus oryzae
aspory7	GCA_002214965.1	Aspergillus oryzae
aspper1	GCA_002215965.1	Aspergillus persii
asptur1	GCA_002234965.2	Aspergillus turcosus
asptur2	GCA_002234975.2	Aspergillus turcosus
aspthe1	GCA_002237265.2	Aspergillus thermomutatus
aspara2	GCA_002749805.1	Aspergillus arachidicola
aspter4	GCA_002749855.1	Aspergillus terreus
aspoch4	GCA_002846915.2	Aspergillus ochraceoroseus IBT 24754
aspcan3	GCA_002847045.1	Aspergillus candidus
aspnov3	GCA_002847465.1	Aspergillus novofumigatus IBT 16806
aspcam2	GCA_002847485.1	Aspergillus campestris IBT 28561
aspste4	GCA_002849105.1	Aspergillus steynii IBT 23096
asptai2	GCA_002850765.1	Aspergillus taichungensis
aspasp2	GCA_002894705.1	Aspergillus sp. ATCC 12892
asppse12	GCA_002927005.1	Aspergillus pseudoterreus
aspfum9	GCA_003069565.1	Aspergillus fumigatus
aspneo8	GCA_003116565.1	Aspergillus neoellipticus
aspasp3	GCA_003138005.1	Aspergillus sp. MA 6041
aspasp4	GCA_003138035.1	Aspergillus sp. MA 6037
aspscl6	GCA_003184525.1	Aspergillus sclerotioniger CBS 115572
aspeuc2	GCA_003184535.1	Aspergillus eucalypticola CBS 122712
asphet3	GCA_003184545.1	Aspergillus heteromorphus CBS 117.55
aspsac2	GCA_003184585.1	Aspergillus saccharolyticus JOP 1030-1
aspneo9	GCA_003184625.1	Aspergillus neoniger CBS 115656
aspscl7	GCA_003184635.1	Aspergillus sclerotiicarbonarius CBS 121057
aspell2	GCA_003184645.1	Aspergillus ellipticus CBS 707.79
aspind3	GCA_003184685.1	Aspergillus indologenus CBS 114.80
aspbru2	GCA_003184695.1	Aspergillus brunneoviolaceus CBS 621.78
aspvio2	GCA_003184705.1	Aspergillus violaceofuscus CBS 115571
aspuva2	GCA_003184745.1	Aspergillus uvarum CBS 121591
asppip2	GCA_003184755.1	Aspergillus piperis CBS 112811
aspacu3	GCA_003184765.1	Aspergillus aculeatinus CBS 121060
aspjap2	GCA_003184785.1	Aspergillus japonicus CBS 114.51
aspfij2	GCA_003184825.1	Aspergillus fijiensis CBS 313.89
aspcos3	GCA_003184835.1	Aspergillus costaricaensis CBS 115574
aspibe2	GCA_003184845.1	Aspergillus ibericus CBS 121593
asphom2	GCA_003184865.1	Aspergillus homomorphus CBS 101889
aspvad2	GCA_003184925.1	Aspergillus vadensis CBS 113365
aspung1	GCA_003324175.1	Aspergillus unguis
aspwel2	GCA_003344945.1	Aspergillus welwitschiae
aspspi1	GCA_003574815.1	Aspergillus spinulosporus
aspinc1	GCA_003719405.1	Aspergillus incahuasiensis
aspoli1	GCA_003719415.1	Aspergillus olivimuriae
aspvir1	GCA_004368095.1	Aspergillus viridinutans
aspcej1	GCA_004769165.1	Aspergillus cejpii
asptan1	GCA_004798825.1	Aspergillus tanneri
aspoch5	GCA_004849945.1	Aspergillus ochraceus
aspfum10	GCA_005768625.2	Aspergillus fumigatus
aspoch6	GCA_005784425.1	Aspergillus ochraceus
aspsoj2	GCA_008274985.1	Aspergillus sojae
aspfis3	GCA_008711165.1	Aspergillus fischeri
aspfis4	GCA_008711225.1	Aspergillus fischeri
asptam2	GCA_008973505.1	Aspergillus tamarii
asptam3	GCA_008973515.1	Aspergillus tamarii
aspter5	GCA_009014675.2	Aspergillus terreus
