Executing command: /home/emile/scripts/glofish//bin/format-ncbi -r fusarium_ncbi_notMycodb.txt -a fusarium_assembly_paths.txt -c ../20211215.pub.genome_codes.txt
fusgra4	GCA_000240135.3	Fusarium graminearum PH-1
fusodo2	GCA_000260195.2	Fusarium odoratissimum NRRL 54006
fuscir2	GCA_000497325.3	Fusarium circinatum
fusvir1	GCA_000585705.1	Fusarium virguliforme Mont-1
fusgra5	GCA_000599445.1	Fusarium graminearum
fusave2	GCA_000769295.1	Fusarium avenaceum
fusave3	GCA_000769305.1	Fusarium avenaceum
fusfus1	GCA_000966855.1	Fusarium sp. JS1030
fusfus2	GCA_000966865.1	Fusarium sp. JS626
fuspse4	GCA_000974265.2	Fusarium pseudograminearum
fusnyg2	GCA_001262555.1	Fusarium nygamai
fuslan2	GCA_001292635.1	Fusarium langsethiae
fustem1	GCA_001513835.1	Fusarium temperatum
fussam1	GCA_001567575.1	Fusarium sambucinum
fuscom2	GCA_001599515.1	Fusarium commune
fusmet1	GCA_001633045.1	Fusarium metavorans
fusaga2	GCA_001654545.1	Fusarium agapanthi
fuspoa2	GCA_001675295.1	Fusarium poae
fuscun1	GCA_001680505.1	Fusarium cuneirostrum
fuspha1	GCA_001680515.1	Fusarium phaseoli
fusvir2	GCA_001680525.1	Fusarium virguliforme
fustuc1	GCA_001680535.1	Fusarium tucumaniae
fustuc2	GCA_001680595.1	Fusarium tucumaniae
fusvir3	GCA_001680605.1	Fusarium virguliforme
fusazu1	GCA_001680625.1	Fusarium azukicola
fusvir4	GCA_001680665.1	Fusarium virguliforme
fusbra1	GCA_001680685.1	Fusarium brasiliense
fustuc3	GCA_001680725.1	Fusarium tucumaniae
fuspse5	GCA_001703955.2	Fusarium pseudograminearum
fusmer1	GCA_001717825.1	Fusarium meridionale
fusasi1	GCA_001717835.1	Fusarium asiaticum
fusasi2	GCA_001717845.1	Fusarium asiaticum
fusmer2	GCA_001717855.1	Fusarium meridionale
fuspra1	GCA_002093855.1	Fusarium praegraminearum
fuspin1	GCA_002165215.1	Fusarium pininemorale
fuseuw2	GCA_002168265.2	Fusarium euwallaceae
fusudu1	GCA_002194535.1	Fusarium udum
fusfuj2	GCA_002196585.2	Fusarium fujikuroi
fussol2	GCA_002215905.1	Fusarium solani
fushos1	GCA_002234205.1	Fusarium hostae
fushos2	GCA_002234235.1	Fusarium hostae
fusfus3	GCA_002234255.1	Fusarium sp. Na10
fusbur1	GCA_002980515.1	Fusarium burgessii
fusalg1	GCA_002982035.1	Fusarium algeriense
fusalg2	GCA_002982055.1	Fusarium algeriense
fuscul2	GCA_003033665.1	Fusarium culmorum
fustri3	GCA_003045085.1	Fusarium tricinctum
fuspro2	GCA_003123625.1	Fusarium proliferatum
fustri4	GCA_003149365.1	Fusarium tricinctum
fuspro3	GCA_003290285.1	Fusarium proliferatum
fusequ2	GCA_003313175.1	Fusarium equiseti
fusoxy52	GCA_003315725.1	Fusarium oxysporum f. sp. lycopersici 4287
fusequ3	GCA_003316835.1	Fusarium equiseti
fusver3	GCA_003316975.2	Fusarium verticillioides
fusver4	GCA_003316995.2	Fusarium verticillioides
fusver5	GCA_003317015.2	Fusarium verticillioides
fusfra1	GCA_003353625.1	Fusarium fracticaudum
fuspro4	GCA_003615215.1	Fusarium proliferatum
fussub2	GCA_003670145.1	Fusarium subtropicale
fusinc1	GCA_003704985.1	Fusarium incarnatum
fusinc2	GCA_003709435.1	Fusarium incarnatum
fushae1	GCA_004026335.1	Fusarium haematococcum
fushae2	GCA_004026385.1	Fusarium haematococcum
fusxyl7	GCA_004329255.1	Fusarium xylarioides
fushum1	GCA_004366955.1	Fusarium humuli
fusfus4	GCA_004367055.1	Fusarium sp. NRRL 66335
fusinc3	GCA_004367075.1	Fusarium incarnatum
fusirr1	GCA_004367085.1	Fusarium irregulare
fusnan1	GCA_004367095.1	Fusarium nanum
fuscla1	GCA_004367155.1	Fusarium clavum
fusfla2	GCA_004367175.1	Fusarium flagelliforme
fuscof2	GCA_004367465.1	Fusarium coffeatum
fuscam1	GCA_004367475.1	Fusarium camptoceras
fuscit1	GCA_004367485.1	Fusarium citri
fussci1	GCA_004367495.1	Fusarium scirpi
fusneo1	GCA_006518225.1	Fusarium neocosmosporiellum
fusxyr1	GCA_008711575.1	Fusarium xyrophilum
fusxyr2	GCA_008711595.1	Fusarium xyrophilum
fusxyr3	GCA_008711615.1	Fusarium xyrophilum
fuscor1	GCA_009617495.1	Fusarium cortaderiae
fusaus3	GCA_009617505.1	Fusarium austroamericanum
fusmer3	GCA_009617515.1	Fusarium meridionale
fusaus4	GCA_009617525.1	Fusarium austroamericanum
fusfuj3	GCA_009663055.1	Fusarium fujikuroi
fusfuj4	GCA_009663095.1	Fusarium fujikuroi
fusfuj5	GCA_009663115.1	Fusarium fujikuroi
fushae3	GCA_010015875.1	Fusarium haematococcum
fusfus5	GCA_011033385.1	Fusarium cf. solani
fusfus6	GCA_011033525.1	Fusarium cf. falciforme
fusfus7	GCA_011033595.1	Fusarium cf. falciforme
fusfus8	GCA_011033625.1	Fusarium cf. solani
fusfus9	GCA_011033705.1	Fusarium cf. falciforme
fusfus10	GCA_011033785.1	Fusarium cf. falciforme
fusfus11	GCA_011033925.1	Fusarium cf. solani
fusfus12	GCA_011033945.1	Fusarium cf. solani
fusfus13	GCA_011034095.1	Fusarium cf. aywerte
fusfus14	GCA_011034235.1	Fusarium cf. hostae
fusfus15	GCA_011034735.1	Fusarium cf. falciforme
fusfus16	GCA_011034825.1	Fusarium cf. solani
fusfus17	GCA_011035275.1	Fusarium cf. verticillioides
fusfus18	GCA_011035525.1	Fusarium cf. nygamai
fusfus19	GCA_011035825.1	Fusarium cf. hostae
fusfus20	GCA_011035845.1	Fusarium cf. hostae
fusfus21	GCA_011036015.1	Fusarium cf. verticillioides
fusfus22	GCA_011036165.1	Fusarium cf. solani
