longFamilyID	oldFamilyID	clade	newFamilyID	familyName	type element reference	notes	otherFamilyID
superfam01-1	fam1-1	1	1	Phoenix	Gluck-Thaler et al., 2022		fam01
superfam01-2	fam1-2	1	2	Hephaestus	Urquhart et al., 2022		fam02
superfam01-3	fam1-3	1	3	Tardis	Gluck-Thaler et al., unpublished	From fumigatus study	fam03
superfam01-4	fam1-4	1	4	Serenity	This study	Vdal manual	fam04
superfam01-5	fam1-5	1	5	Prometheus	Urquhart et al., unpublished	From formaldehyde study	fam05
superfam02-1	fam2-1	2	6	Enterprise	Vogan et al., 2021		fam06
superfam02-2	fam2-2	2	7	Galactica	Gluck-Thaler et al., 2022		fam07
superfam02-3	fam2-3	2	8	Moya	This study	Manual	fam08
superfam03-1	fam3-1	3	9	Arwing	Gluck-Thaler et al., 2022	Starship-1_Foxy_Fol4287; manual	fam09
superfam03-4	fam3-4	3	10	Voyager	Gluck-Thaler et al., 2022		fam10
superfam03-5	fam3-5	3	11	TBD		no representatives found	fam11
