#regionID	maxMismatching	starshipElements	starshipFamilies	refsWithValidatedSites	emptyRegions	emptyInsertionSites	fragmentedRegions	fragmentedInsertionSites	omesWithElement	omesWithEmpty	omesWithFrag
region0001	24	19	10	7	11	5	44	13	13	8	41
region0002	20	12	3	3	0	0	14	31	12	0	14
region0003	28	8	4	3	32	3	137	18	8	32	127
region0004	16	9	2	2	0	0	29	22	8	0	29
region0005	22	9	6	5	0	0	25	26	6	0	25
region0006	14	9	3	3	22	13	3	0	6	22	3
region0007	24	8	3	2	1	0	76	6	8	1	71
region0008	18	8	3	3	6	0	25	6	5	6	25
region0009	13	7	2	2	0	0	39	12	7	0	39
region0010	20	7	3	3	0	0	19	10	4	0	19
region0011	10	7	3	2	0	0	18	15	7	0	18
region0012	23	6	5	3	0	0	70	8	4	0	70
region0013	24	6	5	5	0	0	29	50	6	0	29
region0014	11	6	2	2	0	0	28	24	6	0	28
region0015	16	5	3	2	0	0	60	26	5	0	60
region0016	22	5	3	2	15	0	12	5	5	15	12
region0017	20	5	2	2	0	0	25	13	5	0	25
region0018	20	5	2	2	1	1	23	13	5	1	22
region0019	5	5	3	3	0	0	16	15	3	0	16
region0020	20	4	3	1	6	0	138	3	4	6	138
region0021	9	4	1	0	54	0	5	0	4	54	5
region0022	20	4	3	1	43	0	10	1	4	43	10
region0023	12	4	2	2	40	6	0	0	4	40	0
region0024	16	4	2	2	0	0	31	9	4	0	31
region0025	21	4	4	2	0	0	29	1	2	0	29
region0026	14	4	3	3	0	0	19	9	2	0	19
region0027	9	4	4	4	4	11	3	10	1	4	3
region0028	9	4	4	3	2	4	1	1	3	2	1
region0029	20	3	2	1	64	0	21	1	3	64	21
region0030	13	1	1	1	62	5	16	1	1	62	16
region0031	24	3	3	2	43	2	33	1	3	41	33
region0032	7	2	1	1	31	5	23	9	2	31	23
region0033	20	3	3	3	8	0	43	67	3	8	43
region0034	11	3	2	2	2	1	41	15	2	2	41
region0035	22	3	2	1	13	0	16	1	2	13	16
region0036	12	3	2	2	2	0	26	9	2	2	26
region0037	8	3	2	2	1	0	27	17	3	1	27
region0038	6	3	2	2	1	0	22	3	3	1	22
region0039	8	3	3	3	17	11	2	2	3	17	2
region0040	9	2	2	1	3	3	14	1	1	3	14
region0041	16	3	3	2	6	1	9	2	3	6	9
region0042	6	3	3	2	5	1	7	8	1	5	7
region0043	8	3	1	1	0	0	7	1	3	0	7
region0044	8	3	3	3	2	2	4	5	2	2	4
region0045	11	3	2	0	0	0	5	0	3	0	5
region0046	8	3	3	3	1	2	4	8	3	1	4
region0047	10	3	1	1	0	0	4	2	3	0	4
region0048	7	3	3	3	0	0	3	6	1	0	3
region0049	0	3	1	0	0	0	0	0	3	0	0
region0050	14	2	2	2	29	9	60	7	2	29	60
region0051	7	2	1	0	38	0	31	0	2	38	31
region0052	10	2	1	1	59	3	5	0	2	59	5
region0053	15	2	1	1	0	0	45	11	2	0	45
region0054	8	2	1	1	2	0	42	38	2	2	42
region0055	21	2	2	2	0	0	36	17	2	0	36
region0056	12	2	1	1	12	0	24	7	2	12	24
