#regionID	elementGroupID	refElementID	refSiteID	otherElementIDs
region0001	superfam01-1:fam0003	aspfum4_s01185	aspfum8_site020	
region0001	superfam01-1:fam0065	aspche1_s00792	.	
region0001	superfam01-3:fam0024	aspasp11_s00573	aspung1_site001	aspung2_s02900,aspung3_s02905,aspung4_s02912,
region0001	superfam01-3:fam0071	aspfis1_s01040	aspfis5_site002	
region0001	superfam01-3:fam0414	aspche2_s00817	aspche1_site008	
region0001	superfam01-5:fam0069	aspfum4_s01183	aspfum3_site004	
region0001	superfam02-1:fam0002	aspfum15_s01326	aspfum17_site008	aspfis1_s01047,aspfum3_s01169,aspfum4_s01186,aspfum5_s01199,aspfum6_s01211,
region0001	superfam02-1:fam0030	aspfis1_s01048	.	
region0001	superfam02-1:fam0077	aspfum11_s01256	.	
region0001	superfam02-1:fam0228	aspfum3_s01172	aspfum17_site001	aspfum5_s01202,
region0002	superfam01-5:fam0016	aspory8_s02170	aspory3_site014	
region0002	superfam02-1:fam0030	aspfla7_s01131	aspfla13_site014	aspfla5_s01125,aspfla6_s01127,aspfla11_s01150,aspfla14_s01160,asppar8_s02236,
region0002	superfam02-1:fam0052	aspory10_s02190	aspory5_site007	aspory1_s02138,aspory4_s02150,aspory9_s02184,aspory11_s02199,
region0003	superfam01-1:fam0001	fuspil1_s06163	fustem1_site002	fusfus53_s05594,fusnyg2_s05865,fustem4_s06438,
region0003	superfam02-2:fam0029	fusoxy46_s06068	fusoxy58_site008	fusfuj5_s05292,
region0003	superfam03-1:fam0011	fuscir9_s05100	.	
region0003	superfam03-1:fam0135	fusudu1_s06516	fussor1_site007	
region0004	superfam01-5:fam0004	aspluc6_s01772	aspluc7_site003	aspawa2_s00612,aspluc5_s01764,aspluc8_s01784,aspluc9_s01792,aspluc10_s01801,aspluc11_s01810,aspluc12_s01824,
region0004	superfam02-1:fam0049	aspawa2_s00611	aspluc13_site004	
region0005	superfam01-1:fam0003	aspory9_s02181	aspory8_site024	
region0005	superfam01-5:fam0004	aspory12_s02211	aspory9_site006	
region0005	superfam01-5:fam0048	aspory12_s02212	aspory11_site008	aspory1_s02140,aspory4_s02152,
region0005	superfam02-1:fam0002	aspasp9_s00554	asppar8_site006	
region0005	superfam02-1:fam0030	aspfla8_s01137	.	
region0005	superfam02-1:fam0052	aspory1_s02141	aspory7_site010	aspory4_s02153,
region0006	superfam01-1:fam0003	aspnig12_s01992	aspnig16_site013	aspnig4_s01946,aspnig6_s01955,
region0006	superfam01-2:fam0023	aspnig11_s01989	aspnig16_site013	aspnig4_s01947,aspnig6_s01954,aspnig10_s01981,aspnig12_s01991,
region0006	superfam01-5:fam0012	aspluc2_s01743	aspluc10_site001	
region0007	superfam01-4:fam0128	fuscul4_s05172	.	
region0007	superfam01-5:fam0038	fuscul1_s05161	fuscul5_site004	fuscul6_s05177,
region0007	superfam03-1:fam0011	fuspse7_s06224	fuspse5_site004	fusasi2_s04970,fusasi3_s04973,fusasi4_s04977,fusvor2_s06663,
region0008	superfam01-3:fam0071	aspnov1_s02038	aspara1_site001	aspnov4_s02072,
